,Smiles,pIC50
102,Brc1c(-c2c(F)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,1
103,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,1
104,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H]2NC(=O)CC2)cc1,1
105,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
106,Brc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CNCCO)cc1,1
107,Brc1c(-c2c(Cl)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,1
108,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,1
109,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H]2NC(=O)CC2)cc1,1
110,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
111,Brc1c(-c2c(Br)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CNCCO)cc1,1
112,Brc1c(-c2c(Br)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,1
113,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN[C@](C(=O)O)(CO)C)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
114,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4[C@H](C(=O)O)C[C@H](O)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
115,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
116,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4C[C@@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
117,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
118,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4CC(O)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
119,Clc1c(-c2c(Cl)c(-c3cc(OC)c(OCCN4CC5(NC(=O)CC5)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
120,Clc1c(-c2c(Cl)c(-c3ccc(OCCN4C(=O)C(C)(C)NC4=N)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
121,Clc1c(-c2c(Cl)c(-c3ccc(N4C(=O)C(C)(C)NC4=N)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
122,Clc1c(-c2c(Cl)c(-c3ccc(CN4C(=O)C(C)(C)NC4=N)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,1
123,Clc1c(-c2c(Cl)c(-c3ncc(C4=NCCN4)cc3)ccc2)cccc1-c1ncc(C2=NCCN2)cc1,1
124,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4C[C@@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
125,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4C[C@H](C(=O)O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
126,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNCCC(=O)O)cc1,1
127,Clc1c(-c2c(Cl)c(-c3nc(OC)c([C@H](NC[C@H]4NC(=O)CC4)C)cc3)ccc2)cccc1-c1nc(OC)c([C@H](NC[C@H]2NC(=O)CC2)C)cc1,1
128,Clc1c(-c2c(Cl)c(-c3nc(OC)c([C@@H](NC[C@H]4NC(=O)CC4)C)cc3)ccc2)cccc1-c1nc(OC)c([C@@H](NC[C@H]2NC(=O)CC2)C)cc1,1
129,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c([C@H](NC[C@H]2NC(=O)CC2)C)cc1,1
130,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c([C@@H](NC[C@H]2NC(=O)CC2)C)cc1,1
131,Clc1c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)cccc1-c1cc(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1,1
132,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNCC(F)(F)F)cc1,1
133,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1ncc(CNC[C@H]2NC(=O)CC2)c(OC)c1,1
134,Clc1c(-c2c(Cl)c(-c3nc(C)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,1
135,Fc1c(-c2c(F)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2)cccc1-c1nc(OC)c(C2=NCCN2)cc1,1
