,ID,Smiles,pIC50
80,80,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC(F)C4)cc3)ccc2)cccc1-c1nc(OC)c(CN2CC(F)C2)cc1,8.0551224
81,81,Clc1c(c(F)ccc1-c1nc(OC)c(CN)cc1)-c1c(C#N)c(-c2nc(OC)c(CN)cc2)ccc1,8.6671581
82,82,Clc1c(c(F)ccc1-c1nc(OC)c(CNCCO)cc1)-c1c(C#N)c(-c2nc(OC)c(CNCCO)cc2)ccc1,8.9143524
83,83,Clc1c(c(F)ccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1)-c1c(C#N)c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1,9.6439743
84,84,Clc1c(c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1)-c1c(C#N)c(-c2nc(OC)c(C3=NCCN3)cc2)ccc1,9.8068752
85,85,Clc1c(c(F)ccc1-c1nc(OC)c(CN)cc1)-c1c(F)c(-c2nc(OC)c(CN)cc2)ccc1,8.8651857
86,86,Clc1c(c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1)-c1c(F)c(-c2nc(OC)c(C3=NCCN3)cc2)ccc1,9.7166986
87,87,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CN)cc1,8.8282738
88,88,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CN4CC5(NC(=O)CC5)C4)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1,8.6304131
89,89,Clc1c(-c2c(Cl)c(-c3nc(OC)c(C4=NCCN4)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1,9.211832
90,90,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,8.5288553
91,91,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCO)cc3)ccc2F)c(F)ccc1-c1nc(OC)c(CNCCO)cc1,8.3479471
92,92,Clc1c(c(F)ccc1-c1nc(OC)c(CN2CC3(NC(=O)CC3)C2)cc1)-c1c(Cl)c(-c2nc(OC)c(CN3CC4(NC(=O)CC4)C3)cc2)ccc1,9.2276783
93,93,Clc1c(c(F)ccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1)-c1c(Cl)c(-c2nc(OC)c(CNC[C@H]3NC(=O)CC3)cc2)ccc1,9.0644932
94,94,Clc1c(c(F)ccc1-c1nc(OC)c(C2=NCCN2)cc1)-c1c(Cl)c(-c2nc(OC)c(C3=NCCN3)cc2)ccc1,10.026872
95,95,Clc1c(-c2c(Cl)c(-c3nc(OC)c(CNCCNC(=O)N)cc3)ccc2)cccc1-c1nc(OC)c(CNCCNC(=O)N)cc1,9.2269449
96,96,Clc1c(-c2c(Cl)cc(CNC[C@@H](O)CC(=O)O)c(OC)n2)cccc1-c1c(Cl)c(-c2c(Cl)cc(CNC[C@@H](O)CC(=O)O)c(OC)n2)ccc1,8.0077114
97,97,Clc1c(-c2c(Cl)cc(CNC[C@H]3NC(=O)CC3)c(OC)n2)cccc1-c1c(Cl)c(-c2c(Cl)cc(CNC[C@H]3NC(=O)CC3)c(OC)n2)ccc1,8.0189524
98,98,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@@H](O)CC(=O)O)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H](O)CC(=O)O)cc1,9.7471466
99,99,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@@H]2NC(=O)CC2)cc1,9.5751181
100,100,Brc1c(-c2c(F)c(-c3nc(OC)c(CNC[C@H]4NC(=O)CC4)cc3)ccc2)cccc1-c1nc(OC)c(CNC[C@H]2NC(=O)CC2)cc1,9.4867821
101,101,Brc1c(-c2c(F)c(-c3nc(OC)c(CNCCO)cc3)ccc2)cccc1-c1nc(OC)c(CNCCO)cc1,8.9974022
